ID,Genotype,Age,BiteForce,BFnolever,Mass,SVL,HLroret,HLroqu,HWqu,HWmt,HDmt,LSR_HLroret,LSR_HLroqu,LSR_HWqu,LSR_HWmt,LSR_HDmt,IncTemp,Temp,Transd
2919,ZZF,Adult,51.71840257,62.77966,364.6,228,62.03,51.85,44.17,42.75,28.95,1.391839814,1.163419222,0.991094061,0.959231856,0.649585082,35,32.1,MEHJ#3
2939,ZZF,Adult,63.32557852,87.89111,393,208.5,64.07,54.12,48,45.95,30.91,1.354961858,1.144537783,1.015111116,0.971757412,0.653689262,28,32.1,MEHJ#3
2941,ZZM,Adult,93.37528563,103.2844,251.8,203,60.38,51.18,43.69,41.54,27.85,1.387265811,1.175890431,1.003803301,0.954405793,0.639870037,35,29.9,AKL#1
2949,ZWF,Adult,74.25785393,96.2248,310.2,207,58.51,49.45,43.76,42.47,31.42,1.323358979,1.118443027,0.989748571,0.960571797,0.710646712,28,27,MEHJ#3
2973,ZZM,Adult,66.8375866,73.9807,272.8,190,60.64,48.53,42.07,40.48,29.8,1.405786731,1.12504667,0.975287727,0.938427554,0.690838466,34,34.7,AKL#1
2977,ZZM,Adult,97.41232911,130.3765,213.9,189,54.53,46.44,41.39,38.32,31.69,1.305212796,1.11157312,0.990697921,0.917215374,0.758521795,35,31.5,AKL#1
2982,ZWF,Adult,68.14652868,85.29718,294.9,203,55.62,43.24,34.13,37.12,27.03,1.452411203,1.129130896,0.89124046,0.96931866,0.705837376,28,30.3,MEHJ#3
2984,ZZF,Adult,30.63551019,41.08999,235.21,198,55.97,44.26,40.12,37.7,24.49,1.430288845,1.131044922,1.025249035,0.963406994,0.625831228,28,32.1,MEHJ#3
3344,ZZF,Adult,66.05917066,91.09213,242.2,185,52.16,40.63,35.93,34.7,23.79,1.437687428,1.11988574,0.990339518,0.956436997,0.655724385,34,31.5,MEHJ#3
3349,ZZF,Adult,32.10841104,35.62618,300.7,206,53.34,45.14,36.09,38,24.05,1.403049477,1.187357582,0.94930738,0.999547809,0.632608548,35,31,MEHJ#3
3369,ZZM,Adult,83.95508901,123.7417,276.3,199,58.54,49.03,45.71,41.63,29.02,1.341055612,1.123197073,1.047141305,0.953675181,0.664800715,28,31.4,AKL#1
3415,ZZF,Adult,35.17523802,37.33707,114.1,150,42.99,36.23,30.05,30.09,19.91,1.392556114,1.173582415,0.9733964,0.974692102,0.644935851,32,29.1,MEHJ#3
3417,ZZM,Adult,60.11723642,63.1108,258.6,189,56.71,45.25,41.86,40,27.34,1.379343574,1.100604774,1.018150626,0.972910297,0.664984188,32,NA,MEHJ#3
3420,ZZF,Adult,30,31.98364,127.44,166,43.42,38.3,32.37,30.91,20.7,1.349800829,1.190635001,1.006288642,0.960901511,0.643502468,32,29,MEHJ#3
3420,ZZF,Adult,30,31.98364,127.44,166,43.42,38.3,32.37,30.91,20.7,1.349800829,1.190635001,1.006288642,0.960901511,0.6,32,29,MEHJ#3
3422,ZZF,Juvenile,20.55630746,22.93248,73.9,130,34.96,30.32,25.84,25.98,17.45,1.332802757,1.155909027,0.985115081,0.990452392,0.665257669,34,28,MEHJ#3
3430,ZZM,Juvenile,27.36607408,30.3016,72.8,116,39.68,32.54,26.98,26.18,18.26,1.426498597,1.16981513,0.969932766,0.941172714,0.656448195,35,29.5,AKL#1
3438,ZWF,Adult,40.40355985,59.02674,167.6,157,46.37,37.6,34.24,32.97,20.88,1.391475193,1.128304232,1.027477046,0.98936677,0.626568946,32,27.6,MEHJ#3
3441,ZWF,Juvenile,31.09833239,33.0661,85.6,132,39.73,33.41,28.57,25.37,16.55,1.441165363,1.211913788,1.036347708,0.920270961,0.600334426,28,30.6,AKL#1
3452,ZWF,Adult,27.64697379,32.42516,162.4,164,45.93,38.18,32.7,32.06,20.68,1.399901924,1.163689429,0.996664335,0.977157755,0.630306375,32,28.2,MEHJ#3
3453,ZZF,Adult,57.18004272,75.8045,332.4,198,48.54,43.18,38.6,37.41,25.34,1.285721675,1.14374664,1.022432152,0.990911575,0.671202869,32,29.9,MEHJ#3
3470,ZWF,Adult,41.82060671,49.09254,267.4,192,52.13,42.5,41.84,39.08,23.71,1.349885204,1.10052026,1.083429828,1.011960747,0.613960832,NA,31.3,MEHJ#3
3479,ZZF,Juvenile,19.21746168,20.55931,46.5,109,34.29,28.58,22.19,22.74,13.8,1.47352047,1.228148587,0.953555533,0.977190303,0.593017862,34,27.5,MEHJ#3
3492,ZZM,Adult,77.42190253,93.13416,262.6,190,56.88,46.38,42.58,40.46,28.5,1.356707551,1.106260482,1.015622495,0.965056039,0.679784902,26,30.8,MEHJ#3
3493,ZZF,Adult,31.5224622,33.03225,173.2,176,45.97,37.97,33.4,32.07,21.68,1.383281417,1.142553739,1.005038054,0.965017077,0.652372006,34,29.3,MEHJ#3
3496,ZWF,Adult,27.13906021,37.1715,225.1,189,52.96,43.27,40.89,37.22,24.92,1.368146799,1.117819335,1.056335397,0.96152613,0.643773003,34,31.4,MEHJ#3
3500,ZZF,Adult,37.92614108,48.2095,172,177,46.62,37.72,29.99,32.96,20.36,1.441435421,1.166257917,0.927255433,1.01908433,0.62950719,34,29.9,MEHJ#3
3505,ZZF,Adult,58.21616599,79.99894,207.5,179,49.85,41.18,38.88,38.54,21.86,1.355617719,1.119846292,1.057300239,1.048054301,0.594459445,NA,31.1,MEHJ#3
3507,ZWF,Juvenile,24.01492704,27.5371,79.8,128,39.4,31.58,26.81,26.5,19.73,1.403397174,1.124854892,0.954951224,0.943909267,0.70276716400000006,NA,33.1,AKL#1
3509,ZZM,Juvenile,30.45181645,31.9603,90.7,147,42.96,36.82,29.31,30.78,17.84,1.418726904,1.215957277,0.967944263,1.016490086,0.589154748,34,32.2,AKL#1
3518,ZZF,Adult,61.91801671,72.60348,207.3,168,45.2,39.78,38.67,36.33,21.09,1.287758906,1.133341798,1.101717631,1.035050466,0.600859189,32,28.3,MEHJ#3
3522,ZZM,Adult,35.63001008,49.1002,231,194,56.55,46.72,41.59,40.01,29.05,1.352648013,1.117519278,0.994812217,0.957019399,0.694861623,28,32.5,AKL#1
3532,ZZM,Juvenile,35.24328678,44.677,100.4,143,37.4,35.52,30.75,26.5,18.98,1.289214703,1.224409258,1.059982677,0.913481006,0.654259226,28,31.3,AKL#1
3549,ZWF,Adult,54.0164016,57.3937,201.8,180,55.25,43.25,38.44,37.08,24.76,1.435931936,1.124055316,0.999044771,0.963698754,0.643505425,28,30.5,AKL#1
3563,ZZF,Adult,87.3096685,95.17619,241.2,192,58.39,51.18,46.65,38.78,26.7,1.362876745,1.194588659,1.088854258,0.90516116,0.623202759,35,32.7,MEHJ#3
3565,ZWF,Juvenile,17.3319483,21.4552,69.3,137,37.38,32.59,28.86,25.16,18.05,1.355182334,1.181524673,1.046296473,0.912155899,0.654388473,32,31.5,AKL#1
3570,ZWF,Juvenile,30.32565046,32.5132,67.4,112,35.23,30.76,26.11,25.27,17.44,1.341964816,1.17169565,0.994570007,0.962573116,0.664316389,NA,30.8,AKL#1
3584,ZZM,Juvenile,33.23827386,36.3835,92.5,127,42.83,36.35,30.71,30.64,17.93,1.405619596,1.192955226,1.007858459,1.005561159,0.588437062,32,31.6,AKL#1
3592,ZZF,Adult,64.61966872,74.47994,240.1,183,51.05,43.58,40.08,37.3,24.68,1.333960015,1.138765474,1.047308862,0.974666181,0.644899768,NA,29.8,MEHJ#3
3594,ZWF,Adult,52.72217058,56.8408,167.4,162,43.91,36.42,34.48,32.36,22.4,1.325006485,1.098991942,1.04045146,0.976479386,0.675931343,32,35.1,AKL#1
3595,ZWF,Adult,79.93537958,100.97114,297.8,201,57.23,45.59,40.11,38.23,27.01,1.415431216,1.127546901,0.992013736,0.945516956,0.668020219,28,31.6,MEHJ#3
3596,ZZF,Adult,57.92732122,76.24602,231.6,192,49.25,42.56,39.25,36.09,23.02,1.33492938,1.153595826,1.06387773,0.978225408,0.6239609,35,30.6,MEHJ#3
3600,ZWF,Juvenile,16.7686019,19.2436,55.1,114,35.27,29.19,25.01,27.2,16.46,1.364756161,1.129493403,0.967750257,1.052491283,0.636912005,NA,29.4,AKL#1
3603,ZZF,Adult,34.51645886,45.39481,138.4,161,44.83,36.98,31.81,30.17,20.93,1.403072033,1.157385764,0.9955771,0.944249013,0.65505906,34,31.9,MEHJ#3
3609,ZWF,Juvenile,21.72651006,23.374,53,109,32.18,28.3,23.81,22.95,14.14,1.374400314,1.208686417,1.016919561,0.980189161,0.603916111,26,27.7,MEHJ#3
3610,ZWF,Juvenile,10.83533586,12.61195,21.2,89,25.07,23.25,17.46,18.61,12.87,1.323625252,1.227534388,0.921838727,0.982555482,0.67949968,26,29,MEHJ#3
3611,ZZM,Juvenile,22.98430554,26.79578,37.5,102,32.53,27.12,24.19,24.05,13.99,1.383743459,1.153615819,1.028981072,1.023025828,0.595099016,28,27.3,MEHJ#3
3626,ZWF,Adult,35.30433693,40.86923,133.9,164,46.01,37.46,31.77,30.91,19.44,1.443463265,1.175225688,0.996714365,0.969733743,0.609887543,NA,27.9,MEHJ#3
3629,ZWF,Juvenile,24.04596865,26.96135,55.7,117,33.22,29.11,24.45,24.52,15.9,1.344225008,1.177916616,0.989352843,0.992185346,0.64338283,26,28.8,MEHJ#3
3632,ZZF,Juvenile,18.28175006,22.2702,47.1,109,32.53,28.09,24.07,23.33,15.31,1.359075861,1.17357642,1.005624223,0.974707649,0.639638839,32,31.3,MEHJ#3
3639,ZWF,Juvenile,35.24417824,43.62873,112,141.5,40.11,34.86,29.94,28.36,19.28,1.353080523,1.175975743,1.010003263,0.956703157,0.650396222,28,28.9,MEHJ#3
3643,ZZM,Adult,39.96053749,46.3357,126.9,154,46.77,38.48,32.95,28.59,20.97,1.444751927,1.188669107,1.017844259,0.883161377,0.647775238,34,31.1,AKL#1
3672,ZZF,Adult,54.63677445,68.68499,156.3,158,45.57,38.08,34.32,34.33,21.78,1.345699352,1.124516817,1.013482593,1.013777897,0.643171646,32,29.6,MEHJ#3
3673,ZWF,Juvenile,49.50297394,68.18828,108.3,144,38.9,33.62,30.46,28.84,18.2,1.336228808,1.154858934,1.046311812,0.990664237,0.62517646,28,29.7,MEHJ#3
8025,ZZM,Juvenile,13.00787133,14.53291,38.1,111,31.78,26.32,21.79,22.67,14.61,1.399568451,1.159113959,0.959616002,0.998370572,0.643413942,36,29.9,MEHJ#1
8029,ZWF,Juvenile,13.48807195,14.37803,22,91,27.38,23.96,19.66,20.46,12.89,1.352386978,1.183462089,0.971071146,1.01058574,0.636678895,28,31.8,MEHJ#3
8031,ZWF,Juvenile,16.84849195,26.2309,45,110,31.66,27.13,23.82,23.8,15.03,1.341600559,1.149640656,1.009378564,1.008531059,0.636900076,36,29.6,MEHJ#1
8037,ZWF,Juvenile,17.64136825,19.87159,26.6,97,28.7,25.08,20.3,21.29,13.08,1.367678823,1.195170205,0.967382582,1.014560353,0.623318432,28,30.1,MEHJ#1
8046,ZZF,Juvenile,18.75251418,23.81552,53.1,119,33.76,27.42,23.61,22.61,15.96,1.40936205,1.1446892,0.985635012,0.943888506,0.666274239,36,29,MEHJ#3
8051,ZZM,Juvenile,12.52805408,15,28.7,98.5,29.05,24.24,20.11,20.17,13.38,1.40183071,1.169720358,0.970423944,0.973319292,0.645662475,36,28.1,MEHJ#3
8072,ZZM,Juvenile,12.96812826,18.22288,41.7,109,31.7,26.8,22.35,22.2,14.37,1.395092478,1.179447268,0.98360621,0.977004827,0.632412584,32,30.9,MEHJ#1
8087,ZZM,Juvenile,17.07325607,21.28477,52.9,125,35.48,30.15,25.83,24.99,15,1.402597438,1.191891566,1.021113073,0.987906144,0.592980879,33.5,31.8,MEHJ#1
8092,ZZM,Juvenile,8.233639148,9.85245,15.7,83,25.03,21.92,17.72,17.47,11.87,1.372647747,1.20209503,0.971766603,0.958056577,0.650952008,28,28,MEHJ#3
108004,ZWF,Juvenile,21.2635639,22.65653,41.8,102,31.13,26.78,23.43,23.8,15.75,1.319031664,1.134714679,0.992769415,1.008446952,0.667354601,32,29,MEHJ#3
108006,ZZF,Juvenile,24.6700979,29.61047,34.1,106,34.24,28.54,24.8,25.42,15.61,1.373821109,1.145118413,0.995057345,1.019933779,0.626324402,34,30.6,MEHJ#3
108018,ZWF,Juvenile,10.089338,12.67484,17.9,78.5,24.87,21.92,17.24,17.89,10.84,1.391672807,1.226597022,0.964714081,1.001086712,0.606583564,28,33,MEHJ#1
108027,ZZM,Juvenile,5.740808632,6.73425,10.5,71,21.05,19.2,15.81,15.42,10.16,1.327881878,1.21117967,0.99733076,0.972728673,0.640915909,28,28.1,MEHJ#1
108030,ZWF,Juvenile,11.1964481,13.4398,20.1,89,26,23.26,18.33,18.8,12.9,1.346091963,1.20423458,0.948994834,0.973328035,0.667868705,28,NA,MEHJ#3
108036,ZZM,Juvenile,7.680741274,9.11572,18.6,82.5,24.06,21.91,18.26,17.67,10.37,1.355204413,1.234103436,1.028513407,0.995281046,0.584100987,28,29.9,MEHJ#1
108038,ZZM,Juvenile,15.05403264,15.86816,24,90,27.03,23.19,20.01,19.28,13.37,1.348713118,1.157109035,0.998436903,0.962012169,0.667121509,28,31.2,MEHJ#3
108045,ZWF,Juvenile,15.73355301,17.74462,34.8,99,29.28,24.67,19.91,21.02,13.08,1.403332828,1.182384593,0.954247152,1.00744727,0.626898682,28,33.6,MEHJ#3
108055,ZZF,Juvenile,13.86652392,15.0955,22.6,92,26.41,21.97,18.48,18.9,12.28,1.38859719,1.155148817,0.971649984,0.993732938,0.645663517,36,30.4,MEHJ#3
108067,ZZF,Juvenile,8.875887355,10.63358,14.2,75.5,23.68,21.18,16.21,17.43,11.07,1.365446104,1.221290054,0.934707827,1.00505598,0.638322989,28,27,MEHJ#1
108068,ZWF,Juvenile,12.00943223,14.59879,21.7,84,24.62,21.81,18.72,18.13,11.62,1.336956726,1.184363371,1.016564984,0.98452581,0.63100882,28,30.4,MEHJ#3
108075,ZZM,Juvenile,14.87266873,18.62766,31.6,92,28,24.64,21.08,21.05,13.57,1.328794352,1.16933903,1.000392319,0.998968611,0.643990691,28,30.2,MEHJ#3
108079,ZZM,Juvenile,10.8719815,13.93651,17.9,84,25.21,21.85,16.71,17.81,11.84,1.393059204,1.207391654,0.92336451,0.984148529,0.654257079,28,29.4,MEHJ#3
108085,ZZM,Juvenile,17.23805943,19.5107,24.3,92,28.46,24.77,20.8,21.1,13.01,1.359183513,1.182957682,0.9933597,1.007687004,0.62132739,30,28.6,MEHJ#3
108086,ZWF,Juvenile,8.032135681,9.45593,12.3,74,22.38,19.4,15.76,16.71,10.95,1.350014283,1.170253668,0.950680299,1.007986536,0.660529777,28,27.5,MEHJ#1
108088,ZWF,Juvenile,16.65064473,18.90361,30.3,104,29.5,25.44,20.5,22.06,13.27,1.377552417,1.187963847,0.957282188,1.030129027,0.619665104,28,31,MEHJ#3
108090,ZZM,Juvenile,13.31339909,15.20588,20.3,89,25.24,22.64,17.75,18.08,12.19,1.355863901,1.216194878,0.953509677,0.971236899,0.654832843,28,31.9,MEHJ#3
108091,ZZF,Juvenile,13.00555728,14.06185,40.5,114,31.82,27.72,24.03,23.6,13.63,1.367631733,1.191412685,1.032815542,1.014334032,0.585820884,NA,32.1,MEHJ#1
108096,ZWF,Juvenile,8.413505508,10.29337,14.5,76,22.84,20.76,18.05,17.92,11.55,1.28538128,1.16832379,1.015811388,1.008495295,0.650006733,28,26.6,MEHJ#1
108097,ZZM,Juvenile,13.30889647,14.68993,43.4,119,31.94,27.7,22.5,22.26,14.75,1.384433297,1.200651294,0.975258271,0.964855516,0.639335978,36,31.8,MEHJ#1
108099,ZWF,Juvenile,24.15589859,31.21098,47.9,115.5,32.66,28.56,24.05,23.16,16.3,1.344166463,1.175425419,0.989810271,0.953181117,0.670848541,36,28.7,MEHJ#3
108100,ZZF,Juvenile,6.160366759,6.96978,11,70.5,20.71,19.09,15.09,16.14,10.85,1.295323939,1.19399971,0.943816429,1.00948954,0.67862215,28,28.1,MEHJ#1
3380940,ZWF,Adult,77.88830529,109.9192,371.7,212,60.29,47.56,44.39,42.01,28.52,1.391843445,1.097961092,1.024779076,0.96983485,0.658407282,NA,30,AKL#1
5002926,ZZM,Adult,63.203496,81.7213,261.3,201,60.08,46.58,42.85,42.85,27.4,1.409332929,1.092655257,1.005158389,1.005158389,0.642738386,34,26.7,AKL#1
5003461,ZZM,Juvenile,12.94192958,13.7146,46.8,120,35.19,29.04,23.44,23.91,16.13,1.423317473,1.1745706,0.948069382,0.967079306,0.6524044,32,31,AKL#1
5003534,ZZM,Adult,69.36076941,88.909,180.3,172,52.33,44.75,39.75,34.79,27.15,1.348744544,1.153378909,1.024509757,0.896671559,0.699759495,32,33,AKL#1
noID,ZZM,Adult,98.73486772,140.3287,246,185,55.99,46.77,41.8,36.39,30.48,1.352883001,1.130100696,1.010010885,0.879289381,0.736486406,NA,34.1,AKL#1
Tub1h2,ZZM,Juvenile,4.721031662,5.47809,7.6,59,18.31,16.08,13.25,14.37,10.54,1.283485052,1.127167648,0.92879175,1.007300939,0.73882755,NA,26,MEHJ#1
Tub1h3,ZZM,Juvenile,4.473395551,5.21639,6.8,58.5,18.51,15.74,13.55,14.15,9.54,1.324571381,1.126350813,0.969634912,1.012570775,0.682680226,NA,27.1,MEHJ#1
